name,highway,surface,coordinates
Tanami Road,primary,unpaved,"[(127.6672693, -19.5396123), (127.6646208, -19.5374795), (127.663873, -19.5365798), (127.6632906, -19.5354227), (127.6624636, -19.5323861), (127.6621111, -19.5294775), (127.661915, -19.5159128), (127.6606007, -19.502756), (127.6623984, -19.4751954), (127.665773, -19.4291756), (127.6656385, -19.4268761), (127.6499689, -19.3803379), (127.6488128, -19.3764675), (127.6476525, -19.373379), (127.6346272, -19.3315393), (127.6348226, -19.3297137), (127.6441071, -19.2933838), (127.6448993, -19.2917624), (127.6493496, -19.2848962), (127.6499109, -19.2836678), (127.6502216, -19.2819296), (127.6514769, -19.2402516), (127.6523995, -19.1984871), (127.6518295, -19.1956662), (127.6468239, -19.184653), (127.6464504, -19.1830197), (127.6464477, -19.1817404), (127.6555967, -19.1520196), (127.6580516, -19.1381756), (127.6659703, -19.1038484), (127.6747508, -19.0547085), (127.6749654, -19.0525991), (127.6743302, -19.0442913), (127.674459, -19.0425388), (127.6749053, -19.0411839), (127.6824584, -19.0235606), (127.6833081, -19.0145453), (127.6834798, -19.0083983), (127.6838028, -19.0070863), (127.6848734, -19.0051969), (127.6868659, -19.0031707), (127.687853, -19.0024809), (127.6936814, -18.9993742), (127.6954135, -18.998097), (127.6992812, -18.993186), (127.7029592, -18.9899372), (127.7044719, -18.9881517), (127.7117032, -18.978648), (127.7188077, -18.9620996), (127.7194772, -18.9608577), (127.720593, -18.9599079), (127.7305236, -18.9542825), (127.7313561, -18.9536574), (127.7582211, -18.9324851), (127.7589335, -18.9318356), (127.7614655, -18.9285881), (127.762238, -18.926948), (127.7627273, -18.92504), (127.7649846, -18.8983261), (127.7649589, -18.8968806), (127.7644439, -18.8949967), (127.7563758, -18.8779832), (127.755775, -18.8761397), (127.7557492, -18.8743692), (127.7590022, -18.8619834), (127.7590194, -18.8601152), (127.758779, -18.859238), (127.7505994, -18.8404176), (127.734489, -18.8043061), (127.7332702, -18.8009342), (127.7278457, -18.788478), (127.7057872, -18.7014535), (127.7048173, -18.6990146), (127.7012296, -18.6847214), (127.7008519, -18.6837701), (127.6996503, -18.6822252), (127.6844153, -18.6680607), (127.6838746, -18.6673452), (127.6832738, -18.6659465), (127.6831279, -18.6644991), (127.6855226, -18.6341409), (127.6851621, -18.6328233), (127.6814027, -18.6234861), (127.6806989, -18.6224531), (127.6724076, -18.6130503), (127.6715493, -18.6122857), (127.6537738, -18.6001328), (127.6408477, -18.5872306), (127.639586, -18.5862544), (127.6375604, -18.5856035), (127.6236901, -18.5825934), (127.6221623, -18.5817798), (127.6181283, -18.57807), (127.6085839, -18.5739044), (127.6077085, -18.5730257), (127.606524, -18.5711788), (127.6055627, -18.5700153), (127.6009622, -18.5679487), (127.600533, -18.5675907), (127.599031, -18.5656136), (127.5961127, -18.5642873), (127.5948424, -18.5633354), (127.5937953, -18.5629692), (127.5931516, -18.5629285), (127.5910315, -18.5635551), (127.5898471, -18.5636201), (127.5892034, -18.5634574), (127.582912, -18.5602597), (127.5815215, -18.5598122), (127.577127, -18.5588358), (127.5758738, -18.5583476), (127.5753417, -18.5579815), (127.574758, -18.5574688), (127.568398, -18.5492912), (127.5680032, -18.548152), (127.5682263, -18.5456701), (127.5681577, -18.5444902), (127.5677285, -18.5430498), (127.5672736, -18.5422117), (127.5663295, -18.5411782), (127.5622096, -18.5382242), (127.5614114, -18.5371257), (127.5611796, -18.5355795), (127.5612912, -18.5342937), (127.5618491, -18.5332846), (127.5646558, -18.5300945), (127.5652137, -18.5293214), (127.5654883, -18.5285889), (127.5655742, -18.5277507), (127.5654454, -18.5267497), (127.5644841, -18.5231932), (127.5643983, -18.522298), (127.5645184, -18.5212807), (127.5672994, -18.5112945), (127.5706639, -18.5050436), (127.5710931, -18.5036355), (127.5710416, -18.4947878), (127.5712991, -18.4935668), (127.5733247, -18.4899283), (127.5803542, -18.4747221), (127.5814872, -18.4729881), (127.5881906, -18.4655879), (127.5888171, -18.4644319), (127.588963, -18.4631781), (127.5887141, -18.4619813), (127.5864482, -18.4572349), (127.5859418, -18.456608), (127.5808434, -18.4519021), (127.5794616, -18.4511042), (127.5783973, -18.4507622), (127.5707927, -18.4494595), (127.5702434, -18.4492804), (127.5694194, -18.4487186), (127.5687413, -18.4475055), (127.5674453, -18.4409917), (127.5671363, -18.4401286), (127.5662866, -18.438777), (127.5650763, -18.4376778), (127.5634885, -18.4368798), (127.5568452, -18.4345999), (127.5522103, -18.4318802), (127.5517211, -18.4317173), (127.5497556, -18.4316848), (127.5488372, -18.4315219), (127.5462794, -18.4300318), (127.5449233, -18.4295514), (127.5404773, -18.4293478), (127.539679, -18.4290465), (127.5384345, -18.4277029), (127.5378766, -18.426628), (127.5375161, -18.4254229), (127.5374045, -18.4231428), (127.5405717, -18.4029465), (127.5433183, -18.3923344), (127.5447173, -18.3807687), (127.5452323, -18.3795469), (127.5462022, -18.3782273), (127.5511632, -18.372998), (127.5525107, -18.3712874), (127.5555406, -18.3663755), (127.5561585, -18.3651129), (127.5566478, -18.3632801), (127.5566993, -18.3296338), (127.5562615, -18.327491), (127.5558152, -18.3263422), (127.5548539, -18.3247941)]"
Alpine Way,primary,asphalt,"[(148.1503012, -36.2212794), (148.1532252, -36.2215698), (148.1541539, -36.2213075), (148.1554334, -36.220648), (148.1567729, -36.2206377), (148.1586705, -36.2213894), (148.1605454, -36.2217668), (148.1624082, -36.2227501), (148.1639662, -36.223), (148.1643601, -36.2233068), (148.1647975, -36.2241217), (148.1666874, -36.2255725), (148.1692412, -36.2262087), (148.1706199, -36.2276292), (148.1708147, -36.2281824), (148.1708456, -36.2290304), (148.1713468, -36.2296567), (148.1718898, -36.2313112), (148.1729392, -36.2323683), (148.1739768, -36.2329469), (148.1747831, -36.2340819), (148.1755889, -36.2342538), (148.1771052, -36.2340584), (148.1774572, -36.2342226), (148.1781336, -36.2350182), (148.1790286, -36.2351507), (148.1807074, -36.2349361), (148.1813994, -36.2345246), (148.181901, -36.2344616), (148.1824805, -36.2346454), (148.1826552, -36.2349864), (148.1825411, -36.2353128), (148.1816802, -36.2368475), (148.1805193, -36.2380508), (148.1792515, -36.2387021), (148.1789824, -36.2390327), (148.179328, -36.2410525), (148.179181, -36.2421885), (148.1794191, -36.2424664), (148.1807678, -36.2428287), (148.1814801, -36.2433366), (148.1821594, -36.2440787), (148.1826574, -36.2451558), (148.1829508, -36.2453579), (148.1842706, -36.2454105), (148.1853585, -36.2456628), (148.187072, -36.2453282), (148.1875888, -36.2455586), (148.1884931, -36.2470666), (148.1891666, -36.2485842), (148.1901354, -36.2500091), (148.1908438, -36.2519604), (148.1921198, -36.2538154), (148.1924167, -36.2555628), (148.1934336, -36.2566699), (148.1935539, -36.2579653), (148.1934149, -36.2583457), (148.1919883, -36.2592259), (148.1913438, -36.2599272), (148.1907468, -36.2611413), (148.1898015, -36.2615963), (148.1894174, -36.2619757), (148.1894536, -36.2623598), (148.1900116, -36.2632879), (148.189622, -36.2643463), (148.1898854, -36.2652785), (148.1912643, -36.2659539), (148.1915694, -36.2668935), (148.1925853, -36.2682834), (148.1928349, -36.2684157), (148.194246, -36.2685119), (148.1950841, -36.2680536), (148.1964798, -36.2677599), (148.2002333, -36.2677605), (148.2008949, -36.2680983), (148.2011014, -36.2686374), (148.2017272, -36.2694673), (148.2019024, -36.2701414), (148.2017494, -36.2709539), (148.2013645, -36.2713291), (148.2002653, -36.2718646), (148.2001047, -36.2732027), (148.2002795, -36.2739049), (148.2006761, -36.2745149), (148.2020755, -36.27552), (148.2027433, -36.2762796), (148.2027538, -36.2773243), (148.2020848, -36.2783022), (148.2019949, -36.2789394), (148.2014065, -36.279713), (148.2006908, -36.2817572), (148.1996387, -36.2826553), (148.1994362, -36.2837137), (148.1984933, -36.2857702), (148.1987764, -36.2876851), (148.1995931, -36.2887778), (148.1995418, -36.28919), (148.1991436, -36.2898012), (148.1992376, -36.2910081), (148.1989233, -36.2920797), (148.1981084, -36.2930318), (148.1970102, -36.2938739), (148.1949514, -36.2976392), (148.1941754, -36.2985532), (148.1936552, -36.2998585), (148.1927607, -36.3005659), (148.1922957, -36.3013859), (148.1910925, -36.3021722), (148.1902717, -36.3029682), (148.1891737, -36.3043508), (148.1884845, -36.3055722), (148.1876218, -36.3063173), (148.1875483, -36.3067837), (148.1879195, -36.3081047), (148.1876354, -36.3089878)]"
Alpine Way,primary,asphalt,"[(148.1804006, -36.3861402), (148.1803496, -36.3864882), (148.181904, -36.3882879), (148.1822871, -36.3901846), (148.1819361, -36.3910517), (148.1814158, -36.3917696), (148.1779611, -36.3941716), (148.1776071, -36.3945775), (148.1768426, -36.3985328), (148.1769124, -36.4015401), (148.1764998, -36.4025468), (148.1764081, -36.4032693), (148.1766012, -36.4035586), (148.1776983, -36.4040012), (148.178063, -36.4046078), (148.1773818, -36.4063348), (148.1776017, -36.4071205), (148.1781864, -36.4079451), (148.1780845, -36.4088), (148.1769969, -36.4098674), (148.1756249, -36.4125257), (148.1731492, -36.4151116), (148.171851, -36.4161282), (148.1703047, -36.4181831), (148.1692573, -36.4192212), (148.1692922, -36.4199745), (148.17029, -36.4210925), (148.1705126, -36.4215803), (148.1715828, -36.4252364), (148.1698549, -36.4314595), (148.1698742, -36.431825), (148.1704563, -36.4326796), (148.1704777, -36.4331846), (148.1694826, -36.4344491), (148.1691313, -36.4352109), (148.1690267, -36.4367775), (148.1687133, -36.4377547), (148.1688121, -36.4396604), (148.1683534, -36.439902), (148.1674147, -36.4396388), (148.166492, -36.4401696), (148.1660119, -36.4408105), (148.1660655, -36.4412809), (148.1671679, -36.442802), (148.1673798, -36.4439758), (148.166492, -36.4456286), (148.1639439, -36.4468239), (148.1638044, -36.4470418), (148.1638956, -36.4474992), (148.1645542, -36.4480081), (148.1645865, -36.4483097), (148.1641102, -36.4488412), (148.1636941, -36.44899), (148.1621334, -36.4485823), (148.1617928, -36.4486233), (148.1609505, -36.4492727), (148.1608433, -36.4498164), (148.1611061, -36.4508067), (148.1600064, -36.4518401), (148.1604812, -36.4529685), (148.1594887, -36.4544118), (148.1594807, -36.4546469), (148.160221, -36.455937), (148.1600037, -36.4565109), (148.1584266, -36.4573177), (148.1572169, -36.4585538), (148.1552374, -36.4598266), (148.1524828, -36.4607197), (148.1508735, -36.4610066), (148.150616, -36.4612957), (148.1506884, -36.4617616), (148.151257, -36.4623958), (148.1513643, -36.4627475), (148.1510417, -36.4647624), (148.1502727, -36.4653899), (148.149358, -36.4656617), (148.1487921, -36.4661017), (148.1484528, -36.467891), (148.1484957, -36.4686837), (148.1487237, -36.4692186), (148.1505355, -36.4714834), (148.1505328, -36.4721003), (148.15005, -36.4727452), (148.1473491, -36.4740134), (148.1462279, -36.4750918), (148.1460746, -36.4757717), (148.1469306, -36.4765261), (148.1469601, -36.4771278), (148.144801, -36.4791077), (148.1439105, -36.4805829), (148.1437388, -36.4812665), (148.1437093, -36.482912), (148.1449049, -36.4845759), (148.1446213, -36.4865587), (148.1443155, -36.4869771), (148.1429583, -36.4874148), (148.1419712, -36.4880273), (148.1401393, -36.4905611), (148.1401098, -36.4913632), (148.1408554, -36.493015), (148.1407964, -36.4935109), (148.1400052, -36.495471), (148.1400052, -36.4960381), (148.1403056, -36.496935), (148.1411827, -36.498039), (148.1443396, -36.5005336), (148.1459945, -36.5020558), (148.1462662, -36.5027284), (148.1465455, -36.5052016), (148.1461072, -36.5073725), (148.1460644, -36.5085924), (148.1453186, -36.5104575), (148.1446749, -36.5108844), (148.1418452, -36.5116928), (148.1404075, -36.5123029), (148.1399891, -36.5125249), (148.1397665, -36.5128979), (148.141298, -36.5159762), (148.1425613, -36.5164526), (148.1443986, -36.5162608), (148.1448761, -36.516666), (148.1431353, -36.5206108), (148.1433982, -36.5223675), (148.1432962, -36.5233612), (148.1435138, -36.5249131), (148.1429207, -36.5259908), (148.1427947, -36.5265404), (148.1429154, -36.52831), (148.1424648, -36.5292411), (148.1425881, -36.5306377), (148.1421161, -36.5328339), (148.1422046, -36.5345408), (148.1417738, -36.535129), (148.140835, -36.5356308)]"
Silver City Highway,primary,asphalt,"[(141.9897889, -30.524762), (141.9943321, -30.5181239), (141.9949919, -30.5165781), (141.996046, -30.5129087), (141.9969124, -30.5111132), (142.006874, -30.5022045), (142.0078027, -30.5011604), (142.013376, -30.4918688), (142.01567, -30.4860839), (142.0177278, -30.4822755), (142.0243398, -30.4723613), (142.0360297, -30.4593431), (142.036711, -30.4582819), (142.0371482, -30.4570311), (142.0415041, -30.4220649), (142.0400906, -30.3849401), (142.0400531, -30.3673977), (142.0392431, -30.3630616), (142.0363998, -30.3444124), (142.035107, -30.3419495), (142.0328945, -30.3395949), (142.0321469, -30.3384518), (142.0317998, -30.337065), (142.0316621, -30.3348912), (142.0320681, -30.3333733), (142.0324486, -30.3326383), (142.0332431, -30.3317857), (142.0340739, -30.3312005), (142.0366388, -30.3299373), (142.041974, -30.3256205), (142.0432502, -30.3240104), (142.043733, -30.3227763), (142.0438832, -30.3212089), (142.0434058, -30.3177173), (142.0430624, -30.3165365), (142.0410386, -30.3119088), (142.0408523, -30.3106829), (142.0409945, -30.3092774), (142.0419896, -30.3060471), (142.0418555, -30.300098), (142.0423168, -30.2981168), (142.0497084, -30.2869472), (142.0543455, -30.2803624), (142.0585319, -30.2728173), (142.0596948, -30.2713708), (142.0610332, -30.2700805), (142.0648956, -30.2674536), (142.070363, -30.2641396), (142.0796999, -30.2592024), (142.0901438, -30.2540786), (142.0932366, -30.2523671), (142.109991, -30.2421142), (142.1110878, -30.2408589), (142.1115074, -30.239416), (142.111219, -30.2373787), (142.1093512, -30.2292012), (142.1036723, -30.2116486), (142.1004688, -30.2036577), (142.1002675, -30.2023569), (142.1002481, -30.1997352), (142.1006336, -30.1971066), (142.102939, -30.1905982), (142.1031044, -30.1896045), (142.1029906, -30.1881007), (142.1022946, -30.1846884), (142.1021032, -30.1717138), (142.1023339, -30.170842), (142.1029133, -30.1699654), (142.104072, -30.1690332), (142.1082187, -30.1662598), (142.1093666, -30.1652766), (142.118749, -30.1555711), (142.1194223, -30.1544881), (142.1198273, -30.1531359), (142.1197924, -30.1515403), (142.1194383, -30.1504131), (142.1167991, -30.1463171), (142.1158469, -30.1451341), (142.1149725, -30.1443409), (142.1107346, -30.1413757), (142.1077495, -30.1379442), (142.1061477, -30.1372831), (142.0953146, -30.1352017), (142.0942283, -30.134935), (142.0930186, -30.1343945), (142.0916802, -30.1332439), (142.0909587, -30.1320075), (142.0890167, -30.1256905), (142.0886815, -30.1249737), (142.0881504, -30.1243519), (142.0872089, -30.1236977), (142.0863801, -30.1233497), (142.0799535, -30.1211411), (142.0785803, -30.1203059), (142.0776361, -30.1193941), (142.0767134, -30.1181668), (142.0762682, -30.1172016), (142.0759597, -30.1158327), (142.075949, -30.1147724), (142.0765632, -30.1125195), (142.0784542, -30.1094591), (142.0791703, -30.1078209), (142.0791382, -30.1060598), (142.0784446, -30.1033389), (142.0785373, -30.1025954), (142.0792897, -30.100587), (142.0793782, -30.0992075), (142.0790161, -30.0979196), (142.0754273, -30.0922016), (142.0747179, -30.0913255), (142.0739253, -30.0907279), (142.0716669, -30.0895698), (142.0700347, -30.0892264), (142.0624468, -30.0882609), (142.0610547, -30.0878432), (142.0597136, -30.0871516), (142.0585763, -30.0861258), (142.0553336, -30.0816), (142.0418903, -30.0701199), (142.0412171, -30.0692379), (142.0405063, -30.0678846), (142.0387414, -30.0641821), (142.0383364, -30.063026), (142.0382237, -30.0617632), (142.0383498, -30.0606536), (142.0387253, -30.0594116), (142.0400074, -30.0567117), (142.0402327, -30.0557088), (142.0402488, -30.0544737), (142.0399806, -30.053494), (142.0363247, -30.0454284), (142.0360619, -30.0445322), (142.0338732, -30.0264087), (142.0337981, -30.024033), (142.0341441, -30.022772), (142.0345974, -30.0218361), (142.0482713, -29.9997621), (142.0487029, -29.9989773), (142.0495802, -29.9965564), (142.0499879, -29.9942195), (142.0505565, -29.9809288), (142.0503795, -29.979342), (142.0482151, -29.9678303)]"
Numbulwar Road,primary,unpaved,"[(135.6034977, -14.2344334), (135.60397, -14.2347097), (135.6040965, -14.2349326), (135.6040066, -14.2351107), (135.6015471, -14.2359478), (135.5995634, -14.2361606), (135.5921433, -14.2378048), (135.5910462, -14.2377469), (135.5889822, -14.2368697), (135.5879716, -14.2366581), (135.5872037, -14.2366543), (135.5860037, -14.2371593), (135.585005, -14.2382507), (135.5777746, -14.2480263), (135.5770107, -14.2486962), (135.5679629, -14.2545183), (135.5670033, -14.2553535), (135.5645835, -14.2588097), (135.552491, -14.273251), (135.5508774, -14.2744898), (135.5498689, -14.2749265), (135.5483541, -14.2752838), (135.5225372, -14.2768188), (135.5158774, -14.278625), (135.5036384, -14.284622), (135.4895782, -14.297761), (135.4182342, -14.3307909), (135.4161189, -14.3323934), (135.3936799, -14.3541042), (135.3926751, -14.3548308), (135.3779786, -14.3590643), (135.3604111, -14.3662713), (135.3595911, -14.3667702), (135.3457611, -14.3803753), (135.3449777, -14.3814139), (135.3438303, -14.3839351), (135.3385619, -14.3899583), (135.325799, -14.3996612), (135.3249657, -14.3999796), (135.3238549, -14.3999631), (135.3123727, -14.3978701), (135.3100258, -14.3981013), (135.30891, -14.3985767), (135.3079161, -14.3992444), (135.3065765, -14.4008785), (135.3056887, -14.4030607), (135.3035544, -14.4058406), (135.2996795, -14.4123534), (135.2990046, -14.4141743), (135.2981213, -14.4198419), (135.2972605, -14.4217104), (135.2958181, -14.4233728), (135.2860262, -14.4296298), (135.2803274, -14.4316563), (135.2764016, -14.4341607), (135.271776, -14.4353164), (135.2707539, -14.4357303), (135.2674903, -14.4376351), (135.2621997, -14.4424951), (135.2613416, -14.4430533), (135.2574432, -14.4439874), (135.2558998, -14.4441886), (135.2503049, -14.4440736), (135.245823, -14.4450509), (135.2445615, -14.4451659), (135.2367999, -14.4451228), (135.2152662, -14.4458557), (135.1994313, -14.4461575), (135.1976207, -14.4454246), (135.1919664, -14.4409263), (135.1696165, -14.4288537), (135.1682215, -14.4283506), (135.1482015, -14.4247862), (135.1434525, -14.4234783), (135.1351269, -14.4190658), (135.1290491, -14.4169422), (135.1279861, -14.4167659), (135.1265037, -14.4167877), (135.1234728, -14.4179021), (135.1228404, -14.417806), (135.1220078, -14.4169673), (135.1215626, -14.4167805), (135.1184571, -14.4170163), (135.1170409, -14.4169773), (135.116289, -14.4167895), (135.1151472, -14.4163019), (135.1111883, -14.4131871), (135.1079026, -14.4116181), (135.0930878, -14.4026367), (135.0902939, -14.4017514), (135.0864986, -14.4015773), (135.0859786, -14.402158), (135.0853932, -14.4054895), (135.0844772, -14.4071304), (135.083291, -14.4084594), (135.0831671, -14.4099189), (135.0818744, -14.4125715), (135.0801788, -14.413818), (135.0790731, -14.4151277), (135.0776078, -14.4159279), (135.0710286, -14.4226981), (135.0657973, -14.4289604), (135.0623704, -14.4327845), (135.0610691, -14.4348043), (135.0576235, -14.4383677), (135.0545155, -14.4419941), (135.0472391, -14.4512727), (135.0391296, -14.4571668), (135.036867, -14.4591866), (135.0364842, -14.4598218), (135.0355419, -14.4634928), (135.0324762, -14.4682872), (135.0324524, -14.469195), (135.0330949, -14.4713898), (135.0330366, -14.4729389), (135.0326022, -14.4737204), (135.0311446, -14.4748307), (135.0278601, -14.4760759), (135.0251403, -14.475824), (135.0245885, -14.4761093), (135.0240959, -14.4767817), (135.0230888, -14.4775088), (135.022041, -14.4806333), (135.021345, -14.4833008), (135.0196184, -14.4849475), (135.0192892, -14.4855219), (135.0191717, -14.486308), (135.0194253, -14.488698), (135.0200822, -14.4900198), (135.0216079, -14.4912007), (135.0231991, -14.4921699), (135.0243418, -14.4932188), (135.0257665, -14.4969833), (135.0258082, -14.4981706), (135.024776, -14.5056239), (135.0229007, -14.5169134), (135.0210959, -14.5257541), (135.0161952, -14.5472524), (135.0145322, -14.54932), (135.0135881, -14.5508715), (135.0124294, -14.5552615), (135.0115164, -14.5573903), (135.010722, -14.558263), (135.0098813, -14.5598592), (135.0087787, -14.5613802), (135.0068147, -14.5649316), (135.0058859, -14.5662283), (135.0041816, -14.5674864), (135.0017026, -14.5688702), (135.0001774, -14.5700768), (134.9977501, -14.5714959), (134.9929668, -14.5747799), (134.991962, -14.5759519), (134.9902743, -14.5789499), (134.9871442, -14.5830773), (134.9807122, -14.5883648), (134.9764711, -14.5902609), (134.9744064, -14.5909684), (134.972869, -14.5913295), (134.9707009, -14.5911744), (134.9649422, -14.59154), (134.9635406, -14.5920696), (134.9622563, -14.5929979), (134.9616267, -14.5931635), (134.9602792, -14.5931669), (134.9591755, -14.5937823), (134.9577139, -14.5935171), (134.9475387, -14.5944596), (134.9405461, -14.5966036), (134.9384085, -14.59719), (134.9371753, -14.5973626), (134.9325559, -14.5970812), (134.9279121, -14.5955288), (134.9261025, -14.5945556), (134.9251208, -14.5928035), (134.9240209, -14.5917196), (134.9226336, -14.5909525), (134.9188668, -14.5893516), (134.9166798, -14.5887646), (134.9139976, -14.5892682), (134.9133711, -14.5895077), (134.9114871, -14.5907737), (134.9095184, -14.5922818), (134.9084455, -14.5924038), (134.9079573, -14.592627), (134.9065492, -14.5941091), (134.9056002, -14.5948102), (134.9031993, -14.5953457), (134.902584, -14.5952704), (134.9007475, -14.5946101), (134.8998426, -14.5948326), (134.8988387, -14.5960071), (134.8985951, -14.5966259), (134.8985159, -14.5981142), (134.8978338, -14.600383), (134.8969051, -14.6019447), (134.8963211, -14.6025677), (134.8927063, -14.6050133), (134.8813862, -14.6071878), (134.8554826, -14.6137704), (134.8468756, -14.6139667), (134.8425973, -14.6137015), (134.8406485, -14.6138636), (134.8393295, -14.6142724), (134.8248754, -14.6206552), (134.8198414, -14.6230282), (134.8019008, -14.6356519), (134.8010339, -14.6367713), (134.7987492, -14.6375227), (134.7978312, -14.6387215), (134.7949156, -14.640917), (134.7906241, -14.6428841), (134.7898248, -14.644083), (134.7884327, -14.6448252), (134.7867455, -14.6460882), (134.7862925, -14.6466591), (134.7839265, -14.648724), (134.7817647, -14.6518967), (134.7816058, -14.6526361), (134.7819391, -14.653983), (134.7818211, -14.6543515), (134.7811795, -14.6549634), (134.7792381, -14.6559318), (134.7792173, -14.6581883), (134.7786826, -14.6591171), (134.7741572, -14.6750633), (134.7719988, -14.6811365), (134.7618867, -14.6867885), (134.7599503, -14.6880833), (134.7433023, -14.7086424), (134.740754, -14.7113705), (134.7382113, -14.7154383), (134.7378464, -14.7155149), (134.7362012, -14.7149319), (134.7353572, -14.7149929)]"
Wisemans Ferry Road,primary,asphalt,"[(150.9939326, -33.4607077), (150.9934069, -33.4611899), (150.9904283, -33.4656333), (150.9896625, -33.466069), (150.9867724, -33.4668891), (150.9856486, -33.4681477), (150.9851926, -33.468452), (150.9830334, -33.4688978), (150.9813517, -33.4680833), (150.9803807, -33.4681359), (150.9791254, -33.4687384), (150.9763878, -33.4704242), (150.9745134, -33.4721946), (150.9716957, -33.4739314), (150.9684422, -33.4753576), (150.9662991, -33.4764813), (150.9649432, -33.476653), (150.9632038, -33.4763107), (150.9618051, -33.4766032), (150.9608676, -33.4774333), (150.9599121, -33.478765), (150.9573734, -33.4809501), (150.9562482, -33.4811789), (150.9547019, -33.4804602), (150.9539643, -33.4805133), (150.9535526, -33.4807706), (150.9532321, -33.4814842), (150.953863, -33.4839865), (150.953798, -33.4848673), (150.9523255, -33.4856128), (150.9509562, -33.4865842), (150.9490746, -33.4873386), (150.9481546, -33.4884622), (150.9479508, -33.4895773), (150.9481721, -33.4914652), (150.949607, -33.4940163), (150.9494582, -33.4964846), (150.9499101, -33.4982024), (150.9511212, -33.5001338), (150.954313, -33.5028379), (150.9546898, -33.5034093), (150.9548923, -33.5071756), (150.9546053, -33.5086751), (150.9540313, -33.5101523), (150.9542902, -33.5143499), (150.955056, -33.5163558), (150.9550264, -33.5169004), (150.9532481, -33.5184109), (150.951954, -33.5206817), (150.9511399, -33.5216265), (150.9489432, -33.5230145), (150.9481372, -33.5232107), (150.9423704, -33.5230525), (150.9411259, -33.5233555), (150.9394153, -33.5242136), (150.93573, -33.5268157), (150.9339577, -33.5275458), (150.9326743, -33.5285279), (150.9293376, -33.5290657), (150.9272709, -33.5300796), (150.9252928, -33.5295039), (150.9234984, -33.5300841), (150.9167393, -33.5302797), (150.9154142, -33.5301277), (150.9149837, -33.530282), (150.9147732, -33.5307549), (150.9149167, -33.5319622), (150.9144312, -33.5341924), (150.9152466, -33.5357317), (150.9172663, -33.5368295), (150.9204581, -33.537366), (150.9231631, -33.5391758), (150.9230679, -33.5394586), (150.9222445, -33.5398923), (150.921232, -33.5401137), (150.9202945, -33.5400455), (150.9198802, -33.5407847)]"
