DateCreated,CumulativeStations
2020-02-04T23:09:00Z,188
2020-02-06T01:56:00Z,189
2020-02-19T08:22:00Z,190
2020-02-21T00:35:00Z,191
2020-02-26T11:15:00Z,192
2020-02-27T05:43:00Z,193
2020-03-01T11:45:00Z,194
2020-03-06T06:53:00Z,195
2020-03-12T02:11:00Z,196
2020-03-12T06:53:00Z,197
2020-03-12T06:55:00Z,198
2020-03-15T01:59:00Z,199
2020-03-15T11:36:00Z,200
2020-04-02T07:07:00Z,201
2020-04-05T04:49:00Z,202
2020-04-05T08:55:00Z,203
2020-04-05T10:18:00Z,204
2020-04-09T05:43:00Z,205
2020-04-12T02:07:00Z,206
2020-04-12T02:40:00Z,207
2020-04-15T02:53:00Z,208
2020-04-15T04:25:00Z,209
2020-04-16T21:51:00Z,210
2020-04-16T22:00:00Z,211
2020-04-18T03:17:00Z,212
2020-04-18T04:24:00Z,213
2020-04-23T04:27:00Z,214
2020-04-26T05:26:00Z,215
2020-04-27T04:29:00Z,216
2020-05-02T07:45:00Z,217
2020-05-03T05:24:00Z,218
2020-05-04T07:33:00Z,219
2020-05-10T04:20:00Z,220
2020-05-10T04:37:00Z,221
2020-05-10T05:41:00Z,222
2020-05-10T06:12:00Z,223
2020-05-10T08:00:00Z,224
2020-05-10T09:08:00Z,225
2020-05-13T03:14:00Z,226
2020-05-13T03:35:00Z,227
2020-05-13T06:53:00Z,228
2020-05-13T07:32:00Z,229
2020-05-13T07:53:00Z,230
2020-05-14T02:57:00Z,231
2020-05-14T03:42:00Z,232
2020-05-16T03:39:00Z,233
2020-05-17T07:24:00Z,234
2020-05-17T07:30:00Z,235
2020-05-17T08:18:00Z,236
2020-05-17T08:22:00Z,237
2020-05-18T02:17:00Z,238
2020-05-19T06:26:00Z,239
2020-05-19T07:26:00Z,240
2020-05-20T04:13:00Z,241
2020-05-22T04:17:00Z,242
2020-05-23T07:40:00Z,243
2020-05-25T03:04:00Z,244
2020-05-25T03:28:00Z,245
2020-06-05T04:03:00Z,246
2020-06-05T05:00:00Z,247
2020-06-05T07:51:00Z,248
2020-06-05T07:57:00Z,249
2020-06-06T05:32:00Z,250
2020-06-06T23:54:00Z,251
2020-06-08T01:50:00Z,252
2020-06-08T03:28:00Z,253
2020-06-08T12:45:00Z,254
2020-06-13T23:54:00Z,255
2020-06-14T05:09:00Z,256
2020-06-14T09:56:00Z,257
2020-06-14T10:00:00Z,258
2020-06-14T10:05:00Z,259
2020-06-14T10:18:00Z,260
2020-06-14T10:26:00Z,261
2020-06-14T10:29:00Z,262
2020-06-15T08:57:00Z,263
2020-06-16T02:19:00Z,264
2020-06-18T09:53:00Z,265
2020-06-18T10:05:00Z,266
2020-06-19T01:05:00Z,267
2020-06-19T05:00:00Z,268
2020-06-19T05:07:00Z,269
2020-06-20T14:32:00Z,270
2020-06-26T07:02:00Z,271
2020-07-09T08:12:00Z,272
2020-07-10T00:03:00Z,273
2020-07-10T03:28:00Z,274
2020-07-20T01:42:00Z,275
2020-07-26T10:45:00Z,276
2020-07-26T11:45:00Z,277
2020-07-26T12:25:00Z,278
2020-07-26T13:39:00Z,279
2020-07-26T22:45:00Z,280
2020-07-26T22:48:00Z,281
2020-07-26T22:51:00Z,282
2020-07-26T23:18:00Z,283
2020-07-31T04:52:00Z,284
2020-08-16T09:54:00Z,285
2020-08-17T00:56:00Z,286
2020-08-18T02:23:00Z,287
2020-08-23T05:59:00Z,288
2020-08-25T08:14:00Z,289
2020-09-08T03:25:00Z,290
2020-09-28T12:33:00Z,291
2020-10-01T11:52:00Z,292
2020-10-01T23:38:00Z,293
2020-10-03T06:43:00Z,294
2020-10-03T07:38:00Z,295
2020-10-03T07:45:00Z,296
2020-10-05T09:39:00Z,297
2020-10-05T23:23:00Z,298
2020-10-07T10:10:00Z,299
2020-10-07T11:51:00Z,300
2020-10-17T11:50:00Z,301
2020-10-23T05:58:00Z,302
2020-10-27T09:07:00Z,303
2020-10-31T02:19:00Z,304
2020-11-09T13:54:00Z,305
2020-11-09T14:18:00Z,306
2020-11-09T14:33:00Z,307
2020-11-09T14:43:00Z,308
2020-11-11T06:20:00Z,309
2020-11-16T03:26:00Z,310
2020-11-17T03:58:00Z,311
2020-11-17T06:40:00Z,312
2020-11-17T08:48:00Z,313
2020-11-17T08:56:00Z,314
2020-11-17T09:05:00Z,315
2020-11-18T01:02:00Z,316
2020-11-23T04:18:00Z,317
2020-12-02T22:23:00Z,318
2020-12-03T11:16:00Z,319
2020-12-04T22:53:00Z,320
2020-12-04T23:13:00Z,321
2020-12-04T23:25:00Z,322
2020-12-08T21:01:00Z,323
2020-12-08T21:20:00Z,324
2020-12-08T21:40:00Z,325
2020-12-10T12:47:00Z,326
2020-12-12T08:14:00Z,327
2020-12-12T17:47:00Z,328
2020-12-15T14:48:00Z,329
2020-12-19T03:15:00Z,330
2020-12-22T06:35:00Z,331
2020-12-30T06:42:00Z,332
2020-12-30T09:36:00Z,333
2021-01-06T03:09:00Z,334
2021-01-07T08:40:00Z,335
2021-01-08T04:16:00Z,336
2021-01-08T04:30:00Z,337
2021-01-08T23:49:00Z,338
2021-01-13T06:30:00Z,339
2021-01-13T06:45:00Z,340
2021-01-20T06:44:00Z,341
2021-01-24T02:25:00Z,342
2021-01-24T02:27:00Z,343
2021-01-24T02:31:00Z,344
2021-01-24T16:55:00Z,345
2021-01-31T05:47:00Z,346
2021-01-31T06:22:00Z,347
2021-01-31T06:28:00Z,348
2021-01-31T06:42:00Z,349
2021-02-11T11:59:00Z,350
2021-02-12T06:14:00Z,351
2021-02-19T08:57:00Z,352
2021-02-19T09:01:00Z,353
2021-02-20T00:45:00Z,354
2021-02-20T00:51:00Z,355
2021-02-20T00:56:00Z,356
2021-02-22T04:07:00Z,357
2021-02-22T04:15:00Z,358
2021-02-22T04:25:00Z,359
2021-03-06T00:59:00Z,360
2021-03-24T15:35:00Z,361
2021-03-27T23:08:00Z,362
2021-04-02T00:52:00Z,363
2021-04-20T18:57:00Z,364
2021-04-29T03:26:00Z,365
2021-05-02T07:21:00Z,366
2021-05-08T02:35:00Z,367
2021-05-31T13:07:00Z,368
2021-06-06T10:25:00Z,369
2021-06-07T10:47:00Z,370
2021-06-17T21:26:00Z,371
2021-06-17T21:43:00Z,372
2021-06-29T10:07:00Z,373
2021-07-04T06:18:00Z,374
2021-07-29T12:32:00Z,375
2021-09-01T15:26:00Z,376
2021-09-02T09:51:00Z,377
2021-09-02T10:31:00Z,378
2021-09-19T20:11:00Z,379
2021-10-20T23:25:00Z,380
2021-10-20T23:50:00Z,381
2021-10-21T00:04:00Z,382
2021-10-21T00:16:00Z,383
2021-11-01T06:26:00Z,384
2021-11-01T06:29:00Z,385
2021-11-01T06:32:00Z,386
2021-11-01T06:34:00Z,387
2021-11-01T06:37:00Z,388
2021-11-01T06:40:00Z,389
2021-11-01T06:42:00Z,390
2021-11-01T06:45:00Z,391
2021-11-08T21:50:00Z,392
2021-11-13T16:14:00Z,393
2021-11-13T16:22:00Z,394
2021-11-14T07:09:00Z,395
2021-11-14T07:23:00Z,396
2021-11-14T07:36:00Z,397
2021-11-14T09:39:00Z,398
2021-11-14T10:35:00Z,399
2021-11-15T18:02:00Z,400
2021-11-16T00:00:00Z,401
2021-11-16T04:34:00Z,402
2021-11-16T04:40:00Z,403
2021-11-16T10:05:00Z,404
2021-11-16T10:15:00Z,405
2021-11-16T10:22:00Z,406
2021-11-17T12:26:00Z,407
2021-11-18T12:28:00Z,408
2021-11-23T09:44:00Z,409
2021-11-25T08:03:00Z,410
2021-11-25T08:37:00Z,411
2021-11-27T01:29:00Z,412
2021-11-27T01:48:00Z,413
2021-11-27T01:53:00Z,414
2021-11-27T02:02:00Z,415
2021-11-27T02:10:00Z,416
2021-11-27T02:22:00Z,417
2021-11-27T02:37:00Z,418
2021-11-27T02:41:00Z,419
2021-11-27T04:39:00Z,420
2021-11-27T06:51:00Z,421
2021-11-27T07:03:00Z,422
2021-11-27T07:11:00Z,423
2021-11-27T07:18:00Z,424
2021-11-27T07:24:00Z,425
2021-11-27T07:29:00Z,426
2021-11-27T07:35:00Z,427
2021-11-27T07:39:00Z,428
2021-11-27T07:48:00Z,429
2021-11-27T08:13:00Z,430
2021-11-27T08:17:00Z,431
2021-11-27T09:44:00Z,432
2021-11-27T10:23:00Z,433
2021-11-27T10:27:00Z,434
2021-11-27T10:29:00Z,435
2021-11-27T10:32:00Z,436
2021-11-27T15:00:00Z,437
2021-11-27T15:09:00Z,438
2021-11-27T15:18:00Z,439
2021-11-27T15:24:00Z,440
2021-11-27T15:32:00Z,441
2021-11-27T15:38:00Z,442
2021-11-27T15:49:00Z,443
2021-11-27T15:53:00Z,444
2021-11-27T16:01:00Z,445
2021-11-27T16:10:00Z,446
2021-11-27T16:13:00Z,447
2021-11-27T16:21:00Z,448
2021-11-27T16:30:00Z,449
2021-11-27T16:35:00Z,450
2021-11-27T16:40:00Z,451
2021-11-27T16:44:00Z,452
2021-11-27T16:48:00Z,453
2021-11-27T16:51:00Z,454
2021-11-27T16:56:00Z,455
2021-11-27T17:01:00Z,456
2021-11-27T17:03:00Z,457
2021-11-27T17:07:00Z,458
2021-11-27T17:11:00Z,459
2021-11-27T17:18:00Z,460
2021-11-28T05:20:00Z,461
2021-11-28T15:04:00Z,462
2021-11-29T12:46:00Z,463
2021-12-01T00:20:00Z,464
2021-12-01T00:33:00Z,465
2021-12-01T04:33:00Z,466
2021-12-01T04:55:00Z,467
2021-12-01T06:41:00Z,468
2021-12-01T12:45:00Z,469
2021-12-01T12:48:00Z,470
2021-12-01T13:07:00Z,471
2021-12-01T13:15:00Z,472
2021-12-01T13:24:00Z,473
2021-12-01T14:30:00Z,474
2021-12-02T07:39:00Z,475
2021-12-03T04:57:00Z,476
2021-12-04T05:14:00Z,477
2021-12-04T05:20:00Z,478
2021-12-04T05:42:00Z,479
2021-12-04T05:45:00Z,480
2021-12-04T05:48:00Z,481
2021-12-04T06:01:00Z,482
2021-12-04T06:08:00Z,483
2021-12-04T06:10:00Z,484
2021-12-04T06:15:00Z,485
2021-12-04T06:19:00Z,486
2021-12-04T19:34:00Z,487
2021-12-04T19:48:00Z,488
2021-12-04T19:57:00Z,489
2021-12-04T20:09:00Z,490
2021-12-05T01:45:00Z,491
2021-12-05T19:33:00Z,492
2021-12-08T12:58:00Z,493
2021-12-08T13:06:00Z,494
2021-12-08T13:25:00Z,495
2021-12-08T13:32:00Z,496
