N,X,Y
DIRRANBANDI ,148.223671,-28.585681
BP WACOL TRUCK STOP,152.934474,-27.593562
CALTEX KENT ST UNMANNED,152.710873,-25.544528
COLES EXPRESS MOOROOKA,153.016692,-27.531483
FREEDOM FUELS GOODNA,152.903825,-27.606207
CALTEX YABULU,146.602938,-19.215821
AURUKUN BOWSERS,141.731308,-13.355009
UNITED CRANBROOK,146.750854,-19.307831
AMPOL WINTON,143.047495,-22.380423
IBIS FUEL KUBIN,142.218805,-10.235515
AMPOL ACACIA RIDGE NORTH,153.025888,-27.580333
IBIS FUEL ST. PAULS,142.332387,-10.185983
CALTEX MACKAY,149.166832,-21.100297
7-ELEVEN SPRINGWOOD,153.124237,-27.610192
7-ELEVEN PIMPAMA CENTRAL,153.289084,-27.819319
PUMA RASMUSSEN,146.731629,-19.363531
7-ELEVEN EDEN'S CROSSING,152.842609,-27.668634
CALTEX/WOOLWORTHS TINGALPA,153.143859,-27.474867
FREEDOM FUELS BEENLEIGH,153.186566,-27.714369
SHELL GLADSTONE,151.246245,-23.859094
UNITED RYKE FUEL KUMBIA,151.655121,-26.689759
PUMA BILOELA (HARRIS ST),150.510842,-24.404115
7-ELEVEN RIVER HILLS,152.921774,-27.562065
AMPOL MOSSMAN,145.374945,-16.476177
COLES EXPRESS BRENDALE,152.987144,-27.328162
7-ELEVEN WISHART,153.089875,-27.556424
INDEPENDENT ALPHA GATEWAY,146.638266,-23.649348
NIGHTOWL SHELL EAST TOOWOOMBA,151.975924,-27.566826
MUNDUBBERA TYRE SERVICE,151.300222,-25.592609
CALTEX HELENSVALE,153.318674,-27.906157
COLES EXPRESS ROCKHAMPTON NORTH,150.523535,-23.358339
PUMA WYNNUM (PRESTON RD),153.166598,-27.454589
7-ELEVEN CLONTARF,153.079941,-27.260531
MARANO’S FUEL WONGA,145.411188,-16.359206
7-ELEVEN EAST BEENLEIGH,153.184986,-27.713511
IBIS THURSDAY ISLAND SERVICE STATION,142.221226,-10.583519
BP ROLLINGSTONE,146.389603,-19.045774
PUMA BERSERKER,150.520059,-23.369606
CALTEX STARMART NORGATE STAR (MACKAY),149.175336,-21.122315
BIZZELLS GARAGE PADDINGTON,152.998383,-27.459076
UNITED LABRADOR,153.407683,-27.953538
SPEEWAH COUNTRY TAVERN,145.599958,-16.870891
BP NEWTOWN,151.927645,-27.562023
CALTEX/WOOLWORTHS ALEXANDRA HILLS,153.221396,-27.524938
COLES EXPRESS TOOWOOMBA MARGARET ST,151.949948,-27.560234
PUMA CLONCURRY,140.509133,-20.683339
CALTEX/WOOLWORTHS VICTORIA POINT,153.282677,-27.587127
7-ELEVEN WEST IPSWICH,152.747655,-27.621859
BP TOWNSVILLE TRUCKSTOP,146.819903,-19.316049
MOUNT ISA SERVICE STATION,139.498101,-20.725701
BP LAKELAND COFFEE HOUSE & STORE,144.855224,-15.859027
UNITED ILBILBIE,149.357829,-21.705135
SMITHY'S DRIVEWAY SERVICE GLENMORE ROAD,150.508078,-23.362514
BP NORTHGATE,153.072252,-27.393208
PUMA NORMAN PARK,153.063678,-27.483889
FUTURE FUEL DISTRIBUTORS SERVICE STATION THEODORE,150.075526,-24.947317
AMPOL BILOELA,150.506057,-24.404728
BP ROMA TRUCKSTOP,148.775667,-26.579371
WOWAN ROADHOUSE,150.193439,-23.912216
COLES EXPRESS DECEPTION BAY,153.018491,-27.190285
AMPOL NORTH ROCKHAMPTON,150.518445,-23.332918
BP GYMPIE GATEWAY,152.686636,-26.220828
COLES EXPRESS NERANG,153.337273,-27.990212
METRO CLONTARF,153.086872,-27.241169
CALTEX/WOOLWORTHS DECEPTION BAY,153.029787,-27.193232
COLES EXPRESS BLACKWATER,148.882422,-23.585385
LIBERTY KARAWATHA,153.093717,-27.617402
UNITED HERVEY BAY,152.812597,-25.289798
PUMA BOHLE TRUCKSTOP,146.714986,-19.261599
MOBIL ON SPENCE,145.768766,-16.929946
LIBERTY ROMA,148.786676,-26.577582
PUMA EL ARISH,146.007446,-17.808608
BP FAVERO MOTORS,151.944375,-28.648639
CALTEX/WOOLWORTHS WARANA,153.129057,-26.721583
COSTCO IPSWICH FUEL STATION,152.820621,-27.590576
UNITED PARK RIDGE,153.093087,-27.708002
7-ELEVEN BORONIA HEIGHTS,153.021996,-27.678744
BP REDLAND BAY,153.287897,-27.605957
SHELL TAMBORINE,153.129365,-27.880379
LIBERTY HELENSVALE,153.334306,-27.929726
CALTEX NEBO ROAD MACKAY WEST,149.165452,-21.155113
CALTEX DAWSON VALLEY ROADHOUSE,149.794459,-25.642466
LAKES CREEK SERVO,150.532529,-23.372397
COLES EXPRESS PORT DOUGLAS,145.467778,-16.536293
SHELL THE BIG CRAB MIRIAM VALE,151.560637,-24.328486
CALTEX/WOOLWORTHS MARYBOROUGH,152.699645,-25.540726
PUMA NEWTOWN,151.920723,-27.553011
CALTEX BAYVIEW ST RUNAWAY BAY,153.401999,-27.904087
AMPOL PLAINLAND (EASTBOUND),152.424434,-27.563917
7-ELEVEN PALM BEACH NORTH,153.465555,-28.109291
CALTEX KINGAROY DEPOT FRONT,151.838488,-26.544689
BP ST GEORGE OPT,148.590435,-28.045193
COLES EXPRESS LOGAN RD,153.071703,-27.530087
7-ELEVEN PACIFIC PINES,153.320927,-27.946182
COLES EXPRESS MOLENDINAR,153.379102,-27.973976
NIGHTOWL BP MOFFAT BEACH,153.138703,-26.789777
THE OAKS STORE,152.413981,-24.770145
MERINGANDAN PRODUCE AND TRADING PLACE,151.887496,-27.423459
COLES EXPRESS NOOSA,153.093679,-26.398592
AMPOL ROSSLYN BAY KIOSK,150.791233,-23.164162
BP MOOLOOLAH PINES,152.963136,-26.764685
KANDANGA SNACK BAR,152.677239,-26.387512
UNITED BOOVAL,152.798678,-27.612733
AMPOL CARINA,153.093525,-27.495823
CALTEX NAMBOUR DIESEL STOP,152.962381,-26.618388
AMPOL MACKENZIE,153.128257,-27.547427
AMPOL NUNDAH,153.059572,-27.398613
AMPOL SIPPY DOWNS,153.071017,-26.713212
GEM BAIT AND TACKLE,153.251464,-27.720956
AMPOL PIMLICO,146.789129,-19.281717
PUMA WOODRIDGE,153.117741,-27.627999
BP OAK STREET,149.183615,-21.096529
AMPOL CANAL CREEK QUARRY UNMANNED,150.444428,-22.918378
MUTTABURRA SHOP AND FUEL,144.548189,-22.592777
WIDGEE GENERAL STORE,152.438672,-26.201974
LIBERTY MONKLAND,152.686278,-26.219687
CALTEX/WOOLWORTHS ZILLMERE,153.038133,-27.349825
MOBIL BRINSMEAD,145.710549,-16.906246
FREEDOM FUELS PITTSWORTH,151.637173,-27.714199
LIBERTY KINGAROY,151.836449,-26.536495
PALMER RIVER ROADHOUSE,144.776965,-16.107159
UNITED INGHAM,146.156201,-18.650159
SOUTHBROOK STORE,151.71318,-27.678298
PUMA ROSENEATH UNMANNED,146.829941,-19.376823
UNITED PIMPAMA,153.317975,-27.824784
COLES EXPRESS THURINGOWA,146.739375,-19.287672
7-ELEVEN PARKWOOD,153.351086,-27.947177
BP PORT OF BRISBANE,153.153431,-27.426161
COLES EXPRESS CHAPEL HILL,152.960291,-27.505678
MOBIL PLAINLAND,152.422611,-27.566227
CALTEX/WOOLWORTHS BARGARA,152.455292,-24.818925
MEGA FUELS ROCKLEA,153.010709,-27.546631
7-ELEVEN NAMBOUR,152.969355,-26.616583
7-ELEVEN SANCTUARY COVE,153.366782,-27.877974
PUMA LABRADOR,153.396954,-27.948875
BP WATERFORD,153.142464,-27.693711
COLES EXPRESS TANNUM SANDS,151.369759,-23.950266
CALTEX/WOOLWORTHS KIRWAN,146.735359,-19.301286
7-ELEVEN KINGSTON SOUTH,153.117078,-27.659769
AMPOL MORNINGSIDE,153.086898,-27.456565
COLES EXPRESS YARRABILBA,153.100937,-27.779771
COLES EXPRESS SPRINGFIELD LAKES (ORION),152.900804,-27.676237
DOOMADGEE ROADHOUSE,138.831335,-17.937236
COLES EXPRESS REDLYNCH,145.699585,-16.894206
COLES EXPRESS MARSDEN PARK,153.118187,-27.679182
CALTEX TOOWOOMBA,151.954824,-27.554434
PUMA MARLBOROUGH NORTH,149.891323,-22.821804
TARAMPA FUEL,152.547493,-27.484922
KOOKABURRA'S STORE,148.863046,-21.158511
BP CLONTARF,153.087208,-27.234738
BP THORNLANDS,153.265198,-27.547761
UNITED WEST END,146.796532,-19.267826
AMPOL NEBO,148.692986,-21.683269
AMPOL MALANDA,145.593119,-17.352013
METRO PETROLEUM MIAMI,153.433875,-28.073239
BP PORT DOUGLAS,145.468978,-16.537475
COLES EXPRESS ORMEAU,153.260214,-27.784856
PUMA JULIA CREEK,141.740001,-20.657355
CALTEX/WOOLWORTHS MOUNT ISA,139.492616,-20.723954
7-ELEVEN DINMORE,152.832017,-27.598074
7-ELEVEN WINDAROO,153.193944,-27.735692
PUMA MOUNT LARCOM,150.972841,-23.806524
COLES EXPRESS KARALEE,152.792046,-27.572265
BP CONNECT MERRIMAC,153.366982,-28.046822
7-ELEVEN TINGALPA NORTH,153.152512,-27.467415
MENZIES CALTEX FRENCHVILLE,150.537055,-23.348179
CALTEX BEAUDESERT NORTH,152.993776,-27.978267
JO'S ROADHOUSE AVONDALE,152.134482,-24.751986
PUMA CANNON VALLEY,148.670761,-20.299655
METRO WEST IPSWICH,152.749584,-27.618788
BP MILTON,153.007504,-27.467628
SHELL GOLDEN HARVEST ROADHOUSE TOOWOOMBA,151.905653,-27.536309
BP ASHMORE,153.363281,-27.986267
NIGHTOWL SHELL KELVIN GROVE,153.008619,-27.445445
PUMA NAMBOUR,152.968964,-26.616087
BP TINGALPA,153.130235,-27.474466
BP WAMURAN,152.858752,-27.038915
AMPOL GARBUTT DEPOT,146.767533,-19.267277
BP EMU PARK,150.825641,-23.256789
BP ST GEORGE,148.583303,-28.034992
7-ELEVEN WARNER,152.962602,-27.310471
7-ELEVEN NERANG,153.333007,-27.993011
7-ELEVEN NOOSAVILLE,153.046693,-26.410082
AMPOL RAILWAY ESTATE TOWNSVILLE,146.815623,-19.272431
MOBIL CAIRNS-NORTH,145.758942,-16.906119
LIBERTY DECEPTION BAY,153.032128,-27.199148
AMPOL GOODNA,152.897851,-27.608528
BP MIDDLEMOUNT,148.711515,-22.818393
UNITED GAYNDAH,151.610751,-25.625395
PUMA BUNDAMBA,152.821772,-27.588554
JIO FUEL,153.117939,-27.662209
CALTEX/WOOLWORTHS HARRISTOWN,151.931654,-27.566333
BP KINGSTON,153.116663,-27.658641
HOPE ENERGY ASHMORE,153.379317,-27.975394
PUMA ZILLMERE,153.037111,-27.366756
PUMA CURRIMUNDI,153.122114,-26.767076
AMPOL FOODARY EAGLEBY,153.200557,-27.700973
BP NOOSAVILLE,153.068583,-26.400499
UNITED BRENDALE,152.974796,-27.326447
7-ELEVEN NINGI,153.079529,-27.061901
BP MORANBAH,148.028177,-21.991919
BP MARMOR,150.713583,-23.682127
BP FERNY GROVE,152.936946,-27.402342
AMPOL WATERFORD,153.134241,-27.691569
PUMA GRANGE,153.017122,-27.426514
UNITED COOLUM BEACH,153.090542,-26.527831
BP OPT BOHLE,146.722739,-19.259919
CALTEX/WOOLWORTHS ORMEAU,153.252488,-27.786314
PUMA PEREGIAN,153.093755,-26.489702
COLES EXPRESS BEENLEIGH,153.193605,-27.714422
PUMA BUDERIM,153.064759,-26.682605
CALTEX/WOOLWORTHS BROOKSIDE (MITCHELTON),152.981678,-27.409641
BADU EXPRESS,142.166513,-10.163466
CALTEX STAR MART KENMORE,152.948245,-27.507882
7-ELEVEN GAVEN,153.323593,-27.926201
PLUMTREE STORE,150.035355,-22.135863
LIBERTY STRATHPINE,152.987123,-27.322503
7-ELEVEN MURARRIE,153.105762,-27.457062
COLES EXPRESS ALEXANDRA HILLS,153.212352,-27.521041
COLES EXPRESS INGHAM,146.162101,-18.646533
PUMA HARRISTOWN (ANZAC AVE),151.926549,-27.570006
PACIFIC PETROLEUM BOWEN,148.215902,-20.012623
CALTEX/WOOLWORTHS SOUTHPORT,153.411417,-27.976643
CALTEX/WOOLWORTHS ACACIA RIDGE,153.026049,-27.575198
BP MOSS MARINE,149.195312,-21.119976
7-ELEVEN MOORVALE,153.023628,-27.524033
7-ELEVEN HERITAGE PARK,153.053222,-27.673523
BP SEYMOURS TOYOTA,152.376544,-27.087294
ROSEWOOD FUELS,152.592802,-27.639587
PUMA MARYBOROUGH CENTRAL,152.699487,-25.530919
BP SALTWATER,152.707661,-25.526428
UNITED WOREE,145.751637,-16.953147
COLES EXPRESS DAISY HILL,153.153329,-27.644577
BP TUGUN,153.493365,-28.142699
COLES EXPRESS TARINGA,152.994049,-27.491519
BP BILOELA,150.515592,-24.400621
AUSSIE WORLD GARAGE PALMVIEW,153.046037,-26.751733
CALTEX BENARBY TRAVEL CENTRE,151.335603,-24.006748
MOBIL INGHAM ROAD,146.745027,-19.262167
AMPOL NERANG NORTH,153.341262,-27.993143
LIBERTY TANAWHA,153.036685,-26.711688
COLES EXPRESS BELLBIRD PARK,152.872661,-27.647133
PACIFIC PETROLEUM NAMBOUR DEPOT,152.984006,-26.616569
UNITED CANNONVALE,148.676408,-20.289766
PUMA D'AGUILAR,152.802768,-26.990422
COLES EXPRESS IPSWICH NORTH,152.761875,-27.603471
BP MOOLOOLABA,153.114969,-26.694302
CALTEX/WOOLWORTHS URANGAN (HERVEY BAY),152.893567,-25.293231
FREEDOM FUELS WOOLOOWIN,153.047525,-27.408291
LIBERTY GLEN APLIN,151.878126,-28.740091
UNITED CRESTMEAD,153.082102,-27.697194
COLES EXPRESS MARSDEN,153.092263,-27.681053
NIGHTOWL PUMA AYR CENTRAL,147.403824,-19.572411
PUMA BLI BLI,153.039255,-26.635544
LIBERTY GLADSTONE,151.246211,-23.840455
7-ELEVEN THE GAP,152.943798,-27.443144
AMPOL INGHAM,146.152277,-18.680603
COLES EXPRESS WULGURU,146.822786,-19.328363
CALTEX/WOOLWORTHS BOWEN HILLS,153.040037,-27.439582
HOPE VALE SERVICE STATION,145.109936,-15.294412
BP OPT AYR,147.403018,-19.570852
BP SERVICE STATION LONGREACH,144.255656,-23.441122
7-ELEVEN PINELANDS ROAD,153.060501,-27.591302
COLES EXPRESS GLASSHOUSE MOUNTAIN INBOUND,152.996142,-26.917009
7-ELEVEN HIGHFIELDS,151.940083,-27.474253
PUMA CHANDLER,153.183564,-27.517548
PUMA DUTTON PARK,153.028147,-27.498555
7-ELEVEN REDLAND BAY,153.289652,-27.608266
CALTEX/WOOLWORTHS NOOSAVILLE,153.047965,-26.414723
PUMA GRACEVILLE,152.980769,-27.524807
BP CONNECT LOGANHOLME,153.189341,-27.684376
BP OMAN AMA,151.294522,-28.397431
CALTEX/WOOLWORTHS RAINTREES (MANUNDA),145.739559,-16.926305
LIBERTY GOONDIWINDI,150.314527,-28.536312
7-ELEVEN MARSDEN,153.114652,-27.680781
FREEDOM FUELS NUDGEE,153.087063,-27.386791
KARUMBA POINT SERVICE STATION,140.833297,-17.458209
JCM AUTO AND FUEL ST GEORGE,148.580123,-28.036412
AMPOL BIBOOHRA VIA MAREEBA,145.418716,-16.922253
AMPOL NORTH LAKES,153.009278,-27.239369
BP BENOWA,153.398326,-28.009009
UNITED GIRU,147.154546,-19.563246
COLES EXPRESS ROCHEDALE,153.121712,-27.595693
CALTEX/WOOLWORTHS ROBINA,153.379998,-28.071281
UNITED HERMIT PARK,146.801547,-19.275716
BP EAST BRISBANE,153.043606,-27.479316
FREEDOM FUELS KEARNEYS SPRING,151.947146,-27.600099
UNITED GORDONVALE CAIRNS ROAD,145.776004,-17.084677
BP NANANGO,151.997305,-26.678894
DINGO ROADHOUSE,149.335058,-23.651004
CALTEX ARANA HILLS,152.960939,-27.396674
AMPOL BEAUDESERT,152.994282,-27.988922
CALTEX/WOOLWORTHS OXLEY,152.981552,-27.572374
BP OPT CRESTMEAD,153.075118,-27.676439
KYBONG,152.720295,-26.30563176
CALTEX/WOOLWORTHS MANGO HILL,153.037721,-27.223175
BP STAFFORD,153.008034,-27.409316
CALTEX CHURCHILL,152.756695,-27.633501
BP STANLEY STREET EAST,153.047595,-27.488386
COLES EXPRESS SOUTHPORT,153.410762,-27.974753
AMITY POINT GENERAL DEALERS,153.438513,-27.398476
BP TORBANLEA,152.597153,-25.357623
BP LOGAN VILLAGE,153.108134,-27.766699
CHOICE SUN VALLEY,151.260323,-23.874314
GOOMERI FUELS AND ROADHOUSE,152.068575,-26.186317
UNITED BALD HILLS,153.009186,-27.317756
PACIFIC PETROLEUM GLADSTONE,151.225259,-23.853763
COLES EXPRESS MACKAY BROADSOUND RD,149.153523,-21.167628
UNITED CABOOLTURE,152.951795,-27.079253
UNITED MOONIE UFILL,150.369471,-27.716834
UNITED FORESTDALE,152.995711,-27.653823
CALTEX/WOOLWORTHS KALLANGUR,152.992977,-27.250793
COEN STORE,143.200421,-13.944544
PUMA CLAYFIELD,153.050015,-27.427283
BP HALIFAX,146.284451,-18.581847
INGLEWOOD FUEL,151.078343,-28.416595
7-ELEVEN DECEPTION BAY,153.015589,-27.196762
UNITED COOPERS PLAINS,153.024658,-27.569702
LIBERTY CANNONVALE,148.690892,-20.280707
ROADHOUSE SERVICE STATION,145.376991,-16.482363
CALTEX ROBINA,153.394191,-28.056939
UNITED MCKINLAY UFILL,141.288907,-21.271594
STANWELL STORE,150.324613,-23.485138
7-ELEVEN NORTH LAKES CENTRAL,153.008437,-27.238343
CALTEX/WOOLWORTHS KARALEE,152.799577,-27.571231
BP CONNECT CABOOLTURE NORTH,152.976285,-27.124577
FREEDOM FUELS UNDERWOOD,153.106057,-27.618482
BP CANUNGRA,153.165223,-28.016874
7-ELEVEN BRACKEN RIDGE,153.025857,-27.330661
AMPOL KIRWAN,146.735001,-19.304285
COLES EXPRESS TEWANTIN,153.034887,-26.390767
LIBERTY KOORALBYN GENERAL STORE,152.842084,-28.085322
METCO PETROLEUM TOOWOOMBA,151.943432,-27.557316
FREEDOM FUELS KAWUNGAN,152.837275,-25.294975
AMPOL CAMP HILL,153.064933,-27.491728
COLES EXPRESS CLEVELAND,153.266734,-27.534952
7-ELEVEN BELLMERE,152.927518,-27.088873
LIBERTY WOREE,145.738814,-16.947227
7-ELEVEN CARRARA SOUTH,153.351895,-28.016212
LIBERTY GIN GIN,151.954703,-24.989576
7-ELEVEN REDBANK PLAINS,152.871617,-27.645142
PUMA STRATFORD,145.739274,-16.871083
PUMA EMERALD DEPOT,148.155363,-23.529571
BP WELLINGTON POINT,153.238493,-27.487062
AMPOL BEENLEIGH,153.203518,-27.715744
RAINBOW BEACH HOLIDAY VILLAGE,153.091795,-25.903266
AMPOL NERANG,153.344248,-28.007585
PUMA NUNDAH,153.058897,-27.391986
COLES EXPRESS AITKENVALE,146.761682,-19.301571
UNITED MERRIMAC,153.367453,-28.046062
CALTEX/WOOLWORTHS BUNDABERG WEST,152.351084,-24.871208
7-ELEVEN BURPENGARY,152.971004,-27.153825
7-ELEVEN NEWMARKET,153.007669,-27.438837
NIGHTOWL PUMA TORQUAY,152.869375,-25.292183
CALTEX/WOOLWORTHS OORALEA,149.150046,-21.175036
JOHN JACKSON MOTORS,151.691606,-26.178097
CALTEX/WOOLWORTHS KIRKWOOD,151.245088,-23.896926
HERBERTON FUEL AND OIL,145.387024,-17.386205
SHELL MILES,150.185937,-26.661095
CALTEX/WOOLWORTHS ALLENSTOWN (ROCKHAMPTON),150.501252,-23.386239
MOBIL GORDONVALE,145.785016,-17.093198
AMPOL BOWEN,148.214476,-20.027312
COLES EXPRESS MOUNT ISA GRACE STREET,139.493984,-20.724071
COLES EXPRESS CHILDERS,152.274223,-25.235597
CALTEX/WOOLWORTHS GREENBANK,152.984193,-27.736888
CALTEX MOUNT WARREN PARK,153.208587,-27.728239
BP NEWSTEAD,153.041807,-27.452584
CLONCURRY ROADHOUSE,140.509836,-20.706771
AMPOL TIERI,148.345477,-23.037442
MAPOON ABORIGINAL SHIRE COUNCIL STORE,141.903706,-12.021174
CALTEX/WOOLWORTHS BROWNS PLAINS,153.042309,-27.663969
PUMA MOSMAN PARK,146.253325,-20.096572
7-ELEVEN ROBINA,153.390728,-28.090233
BP CHARLEVILLE,146.241454,-26.404236
CALTEX REEDY CREEK,153.391047,-28.093514
AMPOL GLENDEN,148.108283,-21.345331
AMPOL COOMBABAH,153.388552,-27.912298
PUMA WACOL,152.932369,-27.604494
METRO MARSDEN,153.082433,-27.678034
CALTEX/WOOLWORTHS BOOVAL,152.790439,-27.616614
AMPOL RIVERVIEW,152.829969,-27.589483
FOXTRAP,145.468281,-26.647969
PUMA ARATULA,152.550325,-27.979389
PUMA TAYLORS BEACH HOLIDAY PARK,146.325916,-18.625037
RUDY MAAS MARINA,153.344329,-27.748358
COLES EXPRESS MUDGEERABA,153.363316,-28.069984
CALTEX/WOOLWORTHS SLACKS CREEK,153.133163,-27.640145
7-ELEVEN BIRKDALE,153.207169,-27.509114
AMPOL FOODARY WOODRIDGE WEST,153.100209,-27.642938
BP CONNECT ALBANY FOREST,152.969351,-27.358262
BP MODERN MOTORS,150.456903,-27.276266
SOUTHPORT METRO,153.402823,-27.974009
UNITED AYR,147.388126,-19.630478
PUMA LOGANLEA,153.125126,-27.668944
CALTEX/WOOLWORTHS DEAGON,153.059925,-27.333705
PUMA CABOOLTURE WEST,152.927813,-27.076278
CATHEDRALS ON FRASER,153.255928,-25.218892
CAPTAINS MOUNTAIN ROADHOUSE,151.16915,-27.930541
BURDEKIN DUCK ROADHOUSE,146.413778,-20.008996
ARCHER RIVER ROADHOUSE,142.942031,-13.438139
UNITED ARCHERFIELD,153.010123,-27.561096
NORMANTON TRADERS,141.077361,-17.673423
7-ELEVEN RUNAWAY BAY,153.403769,-27.923584
CALTEX ROCKHAMPTON NORTH DEPOT FRONT,150.511436,-23.360722
COLES EXPRESS WARWICK (QLD),152.034326,-28.218673
BP LANDSBOROUGH,152.966932,-26.810243
AMPOL MILES,150.181806,-26.658249
CALTEX/WOOLWORTHS CHERMSIDE,153.024446,-27.374817
PUMA KALINGA,153.047537,-27.410277
COLES EXPRESS VICTORIA POINT,153.285645,-27.595836
IBIS FUEL YAM ISLAND,142.766896,-9.898791
BP CONNECT OXENFORD,153.313775,-27.897219
CALTEX BLAINE DRIVE GLADSTONE,151.232669,-23.855241
LIBERTY IDALIA,146.820881,-19.310403
7-ELEVEN FLAGSTONE,152.977508,-27.812511
UNITED KILCOY,152.560542,-26.947767
7-ELEVEN TOOWOOMBA EAST,151.954726,-27.550871
IOR JULIA CREEK,141.737492,-20.657363
BP RIVERSIDE,146.758694,-19.317041
AMPOL ROMA DIESEL STOP,148.820861,-26.576191
COLES EXPRESS KEDRON INBOUND,153.031696,-27.397828
METRO PETROLEUM INNISFAIL,146.020332,-17.523736
CEQ KOWANYAMA SUPERMARKET,141.746708,-15.472405
CALTEX WOOLWORTHS PARK RIDGE,153.039637,-27.698104
BP SMITHFIELD CAIRNS,145.692154,-16.829124
7-ELEVEN WURTULLA,153.124968,-26.758701
AMPOL REEDY CREEK SOUTH,153.406218,-28.105123
PUMA SOUTHPORT,153.409268,-27.956735
BP STOCKLAND,150.519704,-23.357203
BP KINGAROY,151.839411,-26.542534
METRO PETROLEUM ACACIA RIDGE,153.027937,-27.588318
MIALLO FUEL STATION,145.380903,-16.401534
IOR CLONCURRY,140.507414,-20.688282
AMPOL CABOOLTURE TRAVEL CENTRE,152.975491,-27.042201
COLES EXPRESS EDMONTON,145.728538,-17.021409
BP ON ALBERT,150.504034,-23.373753
AMPOL WEST BURLEIGH,153.440942,-28.110018
PUMA PARK AVENUE,150.523248,-23.350165
CALTEX GRACEMERE DIESEL STOP,150.437211,-23.447002
AMPOL BROOKWATER,152.891088,-27.665637
7-ELEVEN SANDGATE,153.067921,-27.321248
COLES EXPRESS BURLEIGH HEADS,153.443058,-28.093755
UNITED MOUNT ISA,139.493271,-20.728493
THE DAM SHED,152.549914,-27.120155
UNITED GATTON,152.275137,-27.562257
7-ELEVEN SURFERS PARADISE,153.427467,-27.995442
COLES EXPRESS MOOLOOLABA,153.117832,-26.683857
COLES EXPRESS CLONTARF,153.086073,-27.257475
7-ELEVEN REDLAND BAY SOUTH,153.305732,-27.636963
AMPOL CAPELLA,148.021256,-23.080134
7-ELEVEN WOODRIDGE,153.104893,-27.618832
AMPOL BOOVAL,152.791964,-27.613331
XTREME 1 SERVO,150.075959,-24.942542
NIGHTOWL SHELL WAKERLEY,153.168917,-27.493179
BP SIMS ROAD,152.358815,-24.889094
PUMA ROCKHAMPTON DEPOT,150.510231,-23.347573
METRO PETROLEUM FERRY STREET,152.692978,-25.538675
COLES EXPRESS YAMANTO,152.739636,-27.659911
LIBERTY BUNDABERG,152.344214,-24.859311
LIBERTY SARINA,149.216581,-21.422711
AMPOL REDBANK,152.870193,-27.600518
LIBERTY TOOWOOMBA,151.860231,-27.545951
BP WARWICK (ALBION ST),152.035686,-28.212794
BP COLLEGE VIEW,152.344676,-27.544276
CALTEX/WOOLWORTHS CALOUNDRA,153.110615,-26.795695
AMPOL MACKAY (DEPOT FRONT),149.161588,-21.169069
YUNGABURRA PIT STOP,145.583693,-17.271556
BP KAWANA,153.129785,-26.731572
7-ELEVEN ASPLEY,153.026287,-27.364798
UNITED WINDAROO,153.187311,-27.752571
AMPOL FOODARY REDBANK PLAINS,152.848546,-27.641199
SARINA BEACH ROAD FUELS,149.219208,-21.415838
SARINA BEACH STORE,149.312412,-21.390979
CALTEX AGNES WATER,151.902723,-24.212461
BP JIMBOOMBA,153.025532,-27.836787
AMPOL WOREE,145.742438,-16.950393
BP EASTERN HEIGHTS,152.777565,-27.628124
COLES EXPRESS MACKAY NORTH,149.157533,-21.124825
METRO PETROLEUM HARRISTOWN,151.931034,-27.566271
UNITED BOULDERCOMBE,150.473551,-23.561239
RIVERSIDE ROADHOUSE BOULIA,139.913683,-22.910307
WATSON'S GARAGE MALENY,152.850289,-26.758316
CALTEX TOOWOOMBA,151.947535,-27.593991
HAPPY VALLEY - FRASER ISLAND RETREAT,153.200055,-25.337372
COLES EXPRESS CANNONVALE,148.700025,-20.277404
BP BIGGENDEN FOOD & FUEL,152.046742,-25.507375
PUMA ATHERTON,145.475975,-17.255684
MALANDA FUEL,145.595401,-17.359812
PUMA ROCKHAMPTON,150.504958,-23.379504
BP BRIDGE GARAGE,150.323898,-28.545554
LIBERTY HIGHGATE HILL,153.020309,-27.483891
TILSTONS GARAGE,146.639708,-23.648601
PACIFIC PETROLEUM TOOWOOMBA,151.866289,-27.541042
CAM'S CORNER SERVO & MINI MART,140.839419,-17.484502
THE LYND OASIS ROADHOUSE,144.543872,-18.879956
BP NORTH ROCKHAMPTON,150.519713,-23.342224
BP LOGAN MOTORWAY EAST,153.010137,-27.640169
MOBIL EDMONTON CENTRAL,145.727112,-17.021569
METRO PETROLEUM KURABY,153.089513,-27.604274
BP STONES CORNER,153.045224,-27.502393
LOWES EMERALD OPT,148.144337,-23.488187
7-ELEVEN ACACIA RIDGE,153.027066,-27.589298
CEQ LOCKHART RIVER SUPERMARKET,143.343201,-12.784496
BP SOUTH ROCKHAMPTON,150.505698,-23.397383
BP HAIGSLEA,152.623052,-27.569158
LIBERTY BOWEN,148.191478,-20.014326
PORT DOUGLAS SERVICE STATION,145.460697,-16.491767
COLES EXPRESS CALAMVALE,153.047163,-27.632685
CALTEX/WOOLWORTHS KENMORE,152.940747,-27.507637
FREEDOM FUELS ALLORA,151.989027,-28.037568
CALTEX/WOOLWORTHS MISSION BEACH,146.093012,-17.899285
SHELL ARATULA,152.545878,-27.983872
CHOICE RED BULL,150.507119,-23.389551
METRO PETROLEUM WARWICK,152.019518,-28.223476
BP YANDINA FOODSTOP,152.956872,-26.560061
AMPOL COLMSLIE,153.079008,-27.466593
MARINER’S COVE MARINA,153.426874,-27.969173
