N,X,Y
COLES EXPRESS HIGHGATE,115.877089,-31.93816
BP KOONDOOLA,115.858407,-31.841862
AMPOL MOORA,116.009241,-30.641048
INDEPENDENT WONGAN HILLS,116.714917,-30.890388
COLES EXPRESS GIRRAWHEEN,115.829036,-31.834462
INDEPENDENT AMELUP,118.219671,-34.252565
COLES EXPRESS WANGARA,115.852478,-31.791963
SHELL RIVER ROOSTER,117.176686,-32.933112
BETTER CHOICE EDGEWATER,115.789182,-31.772036
BP WAGIN,117.342267,-33.309626
UNITED TAPPING,115.783408,-31.719744
COLES EXPRESS VICTORIA PARK,115.896159,-31.985588
BP 53 MILE ROADHOUSE,115.881552,-32.625402
PUMA HIGH WYCOMBE,116.008034,-31.936977
PUMA YANCHEP,115.641352,-31.547779
CRUDELI'S AUTO REPAIRS,115.51329,-28.539962
CALTEX WEST SWAN,115.990601,-31.839008
CALTEX STRATTON,116.032791,-31.865645
VIBE SPEARWOOD,115.782419,-32.105033
BP WOODVALE BOULEVARDE,115.795949,-31.799781
RELIANCE LAVERTON,122.396466,-28.623944
BP GREENWOOD,115.802073,-31.832278
BP HENLEY BROOK,115.978636,-31.795951
CALTEX DENMARK,117.351258,-34.961873
7-ELEVEN JOONDALUP,115.765241,-31.753934
PUMA WANGARA,115.819241,-31.786174
CALTEX DIANELLA,115.870441,-31.895572
CALTEX GLENDALOUGH,115.819641,-31.922328
BP HUNTINGDALE,115.966471,-32.07157
PUMA PARMELIA,115.816983,-32.247336
CALTEX SOUTH LAKE,115.829179,-32.108301
PUMA KALAMUNDA,116.053017,-31.968055
BP CAVERSHAM,115.960195,-31.871966
BP CONNECT MERRIWA,115.726174,-31.670018
BP KUNUNURRA,128.738509,-15.78059
BP CONNECT CURRAMBINE,115.746379,-31.72375
WOOLWORTHS CALTEX JOONDALUP,115.76321,-31.744569
CALTEX ALBANY,117.874551,-35.005618
INDEPENDENT MOUNT MAGNET,117.849196,-28.055796
COLES EXPRESS BOULDER,121.484609,-30.767419
CALTEX WOOLWORTHS KARRINYUP,115.796196,-31.882033
CALTEX WOOLWORTHS ROCKINGHAM,115.749901,-32.276863
CALTEX SUNSET BEACH GERALDTON,114.627298,-28.719736
INDEPENDENT MERREDIN,118.273696,-31.481224
PUMA NEERABUP,115.742022,-31.67127
VIBE BYFORD,116.009206,-32.221206
COLES EXPRESS ELLENBROOK,115.96,-31.775
CABLE BEACH CENTRE,122.21516,-17.960986
BP NORTHAMPTON,114.630307,-28.351214
COLES EXPRESS SCARBOROUGH,115.757194,-31.892794
BETTER CHOICE MALAGA,115.878229,-31.855136
COLES EXPRESS BRENTWOOD,115.848928,-32.041363
BP GREENWOOD NORTH,115.815729,-31.82089
INDEPENDENT WELLSTEAD,118.604549,-34.494525
7-ELEVEN BYFORD SOUTH,116.005916,-32.222078
WOOLWORTHS CALTEX MIRRABOOKA,115.861237,-31.87354
PUMA MURDOCH,115.842898,-32.079195
VIBE OSBORNE PARK,115.813744,-31.90631
AMPOL BRIDGETOWN,116.136222,-33.955043
7-ELEVEN BUTLER,115.705554,-31.635358
BP WONGAN HILLS SHOP,116.7200763,-30.89752572
GERALDTON FUEL,114.59755,-28.7828882
BP BULL CREEK,115.865891,-32.057041
CALTEX KALGOORLIE,121.433762,-30.780834
PUMA JOONDALUP,115.76494,-31.728704
VIBE NOLLAMARA,115.840339,-31.880514
CRAYBROOK NOMINEES P/L,115.3485824,-33.66283077
GULL BROOKTON,117.009035,-32.365794
SOUTH LAKE,115.838879,-32.111377
